Old_Index,Listings_Title,Neighbourhood,Fulldescription,Listing_ID,Pets,Smoking,Tenant_Parking,Year_Built,Landlord_On_Rentfaster_Since,Building_features,Property_features,Community_features,Utilities_info,Listing_Type,Sq_Feet,Furnishing,Baths,Beds,Rent_Monthly
49,VARSITY SQUARE APARTMENTS (4515 VARSITY DR. NW),Varsity,"Rent today and save up to 2 months on rent with the most exclusive rates on TELUS Optik TV and High-Speed Internet. Live your life uninterrupted at Varsity Square Apartments where you come first! Students receive a $300 move in bonus!

**located in Varsity, one of Avenue Calgary’s top-rated neighbourhoods in 2020**

Virtual Showings Available!

Location, location, location! Varsity Place Apartments is conveniently located next to Market Mall and the University of Calgary. Super quick and easy access to Crowchild Trail and Shaganappi Trail. With green spaces, parks, and playgrounds, enjoy plenty of outdoor living.

WORRY-FREE LIVING
- 24-hour customer service team
- On-site cleaning staff
- On-site landscaping and snow removal
- On-call emergency maintenance
- On-site security and video surveillance

WHAT SETS US APART
- $399 security deposit
- Community involvement opportunities
- Exclusive discounts with local businesses*
- Free resident events
- Fitness facility
- Swimming pool and sauna
- Community room
- Referral program

LIVE HERE
- Functional 1, 2 and 3 bedroom suites
- Standard and upgraded suites
- 12-month lease terms
- Underground and outdoor parking
- Smart Card System in laundry facilities

Start getting to know the Boardwalk community by following @bwalkcommunity on Facebook and Instagram!

*Save $89.99 on your first 3 HelloFresh orders, 10% off online Rosso Coffee Roasters purchases, and more!

Note: Information posted, including suite availability, security deposits, rental rates and incentives are subject to change without notice or may vary by suite type. Current residents can contact the Customer Service Representative to discuss lease renewal options. Suites and floor plans may not be as shown. Some conditions apply. Rental rates listed are net and include current incentives when applicable. Incentives advertised are for new applicants. Internal transfers are subject to conditions found within the Transfer Agreement.",31264,1,1,0,-1,-1,2.0,3.0,21.0,3.0,Apartment,770,0, 1 ,1 ,1829
49,VARSITY SQUARE APARTMENTS (4515 VARSITY DR. NW),Varsity,"Rent today and save up to 2 months on rent with the most exclusive rates on TELUS Optik TV and High-Speed Internet. Live your life uninterrupted at Varsity Square Apartments where you come first! Students receive a $300 move in bonus!

**located in Varsity, one of Avenue Calgary’s top-rated neighbourhoods in 2020**

Virtual Showings Available!

Location, location, location! Varsity Place Apartments is conveniently located next to Market Mall and the University of Calgary. Super quick and easy access to Crowchild Trail and Shaganappi Trail. With green spaces, parks, and playgrounds, enjoy plenty of outdoor living.

WORRY-FREE LIVING
- 24-hour customer service team
- On-site cleaning staff
- On-site landscaping and snow removal
- On-call emergency maintenance
- On-site security and video surveillance

WHAT SETS US APART
- $399 security deposit
- Community involvement opportunities
- Exclusive discounts with local businesses*
- Free resident events
- Fitness facility
- Swimming pool and sauna
- Community room
- Referral program

LIVE HERE
- Functional 1, 2 and 3 bedroom suites
- Standard and upgraded suites
- 12-month lease terms
- Underground and outdoor parking
- Smart Card System in laundry facilities

Start getting to know the Boardwalk community by following @bwalkcommunity on Facebook and Instagram!

*Save $89.99 on your first 3 HelloFresh orders, 10% off online Rosso Coffee Roasters purchases, and more!

Note: Information posted, including suite availability, security deposits, rental rates and incentives are subject to change without notice or may vary by suite type. Current residents can contact the Customer Service Representative to discuss lease renewal options. Suites and floor plans may not be as shown. Some conditions apply. Rental rates listed are net and include current incentives when applicable. Incentives advertised are for new applicants. Internal transfers are subject to conditions found within the Transfer Agreement.",31264,1,1,0,-1,-1,2.0,3.0,21.0,3.0,Apartment,1100,0, 1 ,1 ,2019
49,VARSITY SQUARE APARTMENTS (4515 VARSITY DR. NW),Varsity,"Rent today and save up to 2 months on rent with the most exclusive rates on TELUS Optik TV and High-Speed Internet. Live your life uninterrupted at Varsity Square Apartments where you come first! Students receive a $300 move in bonus!

**located in Varsity, one of Avenue Calgary’s top-rated neighbourhoods in 2020**

Virtual Showings Available!

Location, location, location! Varsity Place Apartments is conveniently located next to Market Mall and the University of Calgary. Super quick and easy access to Crowchild Trail and Shaganappi Trail. With green spaces, parks, and playgrounds, enjoy plenty of outdoor living.

WORRY-FREE LIVING
- 24-hour customer service team
- On-site cleaning staff
- On-site landscaping and snow removal
- On-call emergency maintenance
- On-site security and video surveillance

WHAT SETS US APART
- $399 security deposit
- Community involvement opportunities
- Exclusive discounts with local businesses*
- Free resident events
- Fitness facility
- Swimming pool and sauna
- Community room
- Referral program

LIVE HERE
- Functional 1, 2 and 3 bedroom suites
- Standard and upgraded suites
- 12-month lease terms
- Underground and outdoor parking
- Smart Card System in laundry facilities

Start getting to know the Boardwalk community by following @bwalkcommunity on Facebook and Instagram!

*Save $89.99 on your first 3 HelloFresh orders, 10% off online Rosso Coffee Roasters purchases, and more!

Note: Information posted, including suite availability, security deposits, rental rates and incentives are subject to change without notice or may vary by suite type. Current residents can contact the Customer Service Representative to discuss lease renewal options. Suites and floor plans may not be as shown. Some conditions apply. Rental rates listed are net and include current incentives when applicable. Incentives advertised are for new applicants. Internal transfers are subject to conditions found within the Transfer Agreement.",31264,1,1,0,-1,-1,2.0,3.0,21.0,3.0,Apartment,850,0, 1 ,2 ,1699
49,VARSITY SQUARE APARTMENTS (4515 VARSITY DR. NW),Varsity,"Rent today and save up to 2 months on rent with the most exclusive rates on TELUS Optik TV and High-Speed Internet. Live your life uninterrupted at Varsity Square Apartments where you come first! Students receive a $300 move in bonus!

**located in Varsity, one of Avenue Calgary’s top-rated neighbourhoods in 2020**

Virtual Showings Available!

Location, location, location! Varsity Place Apartments is conveniently located next to Market Mall and the University of Calgary. Super quick and easy access to Crowchild Trail and Shaganappi Trail. With green spaces, parks, and playgrounds, enjoy plenty of outdoor living.

WORRY-FREE LIVING
- 24-hour customer service team
- On-site cleaning staff
- On-site landscaping and snow removal
- On-call emergency maintenance
- On-site security and video surveillance

WHAT SETS US APART
- $399 security deposit
- Community involvement opportunities
- Exclusive discounts with local businesses*
- Free resident events
- Fitness facility
- Swimming pool and sauna
- Community room
- Referral program

LIVE HERE
- Functional 1, 2 and 3 bedroom suites
- Standard and upgraded suites
- 12-month lease terms
- Underground and outdoor parking
- Smart Card System in laundry facilities

Start getting to know the Boardwalk community by following @bwalkcommunity on Facebook and Instagram!

*Save $89.99 on your first 3 HelloFresh orders, 10% off online Rosso Coffee Roasters purchases, and more!

Note: Information posted, including suite availability, security deposits, rental rates and incentives are subject to change without notice or may vary by suite type. Current residents can contact the Customer Service Representative to discuss lease renewal options. Suites and floor plans may not be as shown. Some conditions apply. Rental rates listed are net and include current incentives when applicable. Incentives advertised are for new applicants. Internal transfers are subject to conditions found within the Transfer Agreement.",31264,1,1,0,-1,-1,2.0,3.0,21.0,3.0,Apartment,800,0, 1 ,2 ,1569
49,VARSITY SQUARE APARTMENTS (4515 VARSITY DR. NW),Varsity,"Rent today and save up to 2 months on rent with the most exclusive rates on TELUS Optik TV and High-Speed Internet. Live your life uninterrupted at Varsity Square Apartments where you come first! Students receive a $300 move in bonus!

**located in Varsity, one of Avenue Calgary’s top-rated neighbourhoods in 2020**

Virtual Showings Available!

Location, location, location! Varsity Place Apartments is conveniently located next to Market Mall and the University of Calgary. Super quick and easy access to Crowchild Trail and Shaganappi Trail. With green spaces, parks, and playgrounds, enjoy plenty of outdoor living.

WORRY-FREE LIVING
- 24-hour customer service team
- On-site cleaning staff
- On-site landscaping and snow removal
- On-call emergency maintenance
- On-site security and video surveillance

WHAT SETS US APART
- $399 security deposit
- Community involvement opportunities
- Exclusive discounts with local businesses*
- Free resident events
- Fitness facility
- Swimming pool and sauna
- Community room
- Referral program

LIVE HERE
- Functional 1, 2 and 3 bedroom suites
- Standard and upgraded suites
- 12-month lease terms
- Underground and outdoor parking
- Smart Card System in laundry facilities

Start getting to know the Boardwalk community by following @bwalkcommunity on Facebook and Instagram!

*Save $89.99 on your first 3 HelloFresh orders, 10% off online Rosso Coffee Roasters purchases, and more!

Note: Information posted, including suite availability, security deposits, rental rates and incentives are subject to change without notice or may vary by suite type. Current residents can contact the Customer Service Representative to discuss lease renewal options. Suites and floor plans may not be as shown. Some conditions apply. Rental rates listed are net and include current incentives when applicable. Incentives advertised are for new applicants. Internal transfers are subject to conditions found within the Transfer Agreement.",31264,1,1,0,-1,-1,2.0,3.0,21.0,3.0,Apartment,800,0, 1 ,2 ,1789
49,VARSITY SQUARE APARTMENTS (4515 VARSITY DR. NW),Varsity,"Rent today and save up to 2 months on rent with the most exclusive rates on TELUS Optik TV and High-Speed Internet. Live your life uninterrupted at Varsity Square Apartments where you come first! Students receive a $300 move in bonus!

**located in Varsity, one of Avenue Calgary’s top-rated neighbourhoods in 2020**

Virtual Showings Available!

Location, location, location! Varsity Place Apartments is conveniently located next to Market Mall and the University of Calgary. Super quick and easy access to Crowchild Trail and Shaganappi Trail. With green spaces, parks, and playgrounds, enjoy plenty of outdoor living.

WORRY-FREE LIVING
- 24-hour customer service team
- On-site cleaning staff
- On-site landscaping and snow removal
- On-call emergency maintenance
- On-site security and video surveillance

WHAT SETS US APART
- $399 security deposit
- Community involvement opportunities
- Exclusive discounts with local businesses*
- Free resident events
- Fitness facility
- Swimming pool and sauna
- Community room
- Referral program

LIVE HERE
- Functional 1, 2 and 3 bedroom suites
- Standard and upgraded suites
- 12-month lease terms
- Underground and outdoor parking
- Smart Card System in laundry facilities

Start getting to know the Boardwalk community by following @bwalkcommunity on Facebook and Instagram!

*Save $89.99 on your first 3 HelloFresh orders, 10% off online Rosso Coffee Roasters purchases, and more!

Note: Information posted, including suite availability, security deposits, rental rates and incentives are subject to change without notice or may vary by suite type. Current residents can contact the Customer Service Representative to discuss lease renewal options. Suites and floor plans may not be as shown. Some conditions apply. Rental rates listed are net and include current incentives when applicable. Incentives advertised are for new applicants. Internal transfers are subject to conditions found within the Transfer Agreement.",31264,1,1,0,-1,-1,2.0,3.0,21.0,3.0,Apartment,800,0, 1 ,2 ,1879
49,VARSITY SQUARE APARTMENTS (4515 VARSITY DR. NW),Varsity,"Rent today and save up to 2 months on rent with the most exclusive rates on TELUS Optik TV and High-Speed Internet. Live your life uninterrupted at Varsity Square Apartments where you come first! Students receive a $300 move in bonus!

**located in Varsity, one of Avenue Calgary’s top-rated neighbourhoods in 2020**

Virtual Showings Available!

Location, location, location! Varsity Place Apartments is conveniently located next to Market Mall and the University of Calgary. Super quick and easy access to Crowchild Trail and Shaganappi Trail. With green spaces, parks, and playgrounds, enjoy plenty of outdoor living.

WORRY-FREE LIVING
- 24-hour customer service team
- On-site cleaning staff
- On-site landscaping and snow removal
- On-call emergency maintenance
- On-site security and video surveillance

WHAT SETS US APART
- $399 security deposit
- Community involvement opportunities
- Exclusive discounts with local businesses*
- Free resident events
- Fitness facility
- Swimming pool and sauna
- Community room
- Referral program

LIVE HERE
- Functional 1, 2 and 3 bedroom suites
- Standard and upgraded suites
- 12-month lease terms
- Underground and outdoor parking
- Smart Card System in laundry facilities

Start getting to know the Boardwalk community by following @bwalkcommunity on Facebook and Instagram!

*Save $89.99 on your first 3 HelloFresh orders, 10% off online Rosso Coffee Roasters purchases, and more!

Note: Information posted, including suite availability, security deposits, rental rates and incentives are subject to change without notice or may vary by suite type. Current residents can contact the Customer Service Representative to discuss lease renewal options. Suites and floor plans may not be as shown. Some conditions apply. Rental rates listed are net and include current incentives when applicable. Incentives advertised are for new applicants. Internal transfers are subject to conditions found within the Transfer Agreement.",31264,1,1,0,-1,-1,2.0,3.0,21.0,3.0,Apartment,1030,0, 1.5 ,3 ,1699
49,VARSITY SQUARE APARTMENTS (4515 VARSITY DR. NW),Varsity,"Rent today and save up to 2 months on rent with the most exclusive rates on TELUS Optik TV and High-Speed Internet. Live your life uninterrupted at Varsity Square Apartments where you come first! Students receive a $300 move in bonus!

**located in Varsity, one of Avenue Calgary’s top-rated neighbourhoods in 2020**

Virtual Showings Available!

Location, location, location! Varsity Place Apartments is conveniently located next to Market Mall and the University of Calgary. Super quick and easy access to Crowchild Trail and Shaganappi Trail. With green spaces, parks, and playgrounds, enjoy plenty of outdoor living.

WORRY-FREE LIVING
- 24-hour customer service team
- On-site cleaning staff
- On-site landscaping and snow removal
- On-call emergency maintenance
- On-site security and video surveillance

WHAT SETS US APART
- $399 security deposit
- Community involvement opportunities
- Exclusive discounts with local businesses*
- Free resident events
- Fitness facility
- Swimming pool and sauna
- Community room
- Referral program

LIVE HERE
- Functional 1, 2 and 3 bedroom suites
- Standard and upgraded suites
- 12-month lease terms
- Underground and outdoor parking
- Smart Card System in laundry facilities

Start getting to know the Boardwalk community by following @bwalkcommunity on Facebook and Instagram!

*Save $89.99 on your first 3 HelloFresh orders, 10% off online Rosso Coffee Roasters purchases, and more!

Note: Information posted, including suite availability, security deposits, rental rates and incentives are subject to change without notice or may vary by suite type. Current residents can contact the Customer Service Representative to discuss lease renewal options. Suites and floor plans may not be as shown. Some conditions apply. Rental rates listed are net and include current incentives when applicable. Incentives advertised are for new applicants. Internal transfers are subject to conditions found within the Transfer Agreement.",31264,1,1,0,-1,-1,2.0,3.0,21.0,3.0,Apartment,1030,0, 1 ,3 ,1729
49,VARSITY SQUARE APARTMENTS (4515 VARSITY DR. NW),Varsity,"Rent today and save up to 2 months on rent with the most exclusive rates on TELUS Optik TV and High-Speed Internet. Live your life uninterrupted at Varsity Square Apartments where you come first! Students receive a $300 move in bonus!

**located in Varsity, one of Avenue Calgary’s top-rated neighbourhoods in 2020**

Virtual Showings Available!

Location, location, location! Varsity Place Apartments is conveniently located next to Market Mall and the University of Calgary. Super quick and easy access to Crowchild Trail and Shaganappi Trail. With green spaces, parks, and playgrounds, enjoy plenty of outdoor living.

WORRY-FREE LIVING
- 24-hour customer service team
- On-site cleaning staff
- On-site landscaping and snow removal
- On-call emergency maintenance
- On-site security and video surveillance

WHAT SETS US APART
- $399 security deposit
- Community involvement opportunities
- Exclusive discounts with local businesses*
- Free resident events
- Fitness facility
- Swimming pool and sauna
- Community room
- Referral program

LIVE HERE
- Functional 1, 2 and 3 bedroom suites
- Standard and upgraded suites
- 12-month lease terms
- Underground and outdoor parking
- Smart Card System in laundry facilities

Start getting to know the Boardwalk community by following @bwalkcommunity on Facebook and Instagram!

*Save $89.99 on your first 3 HelloFresh orders, 10% off online Rosso Coffee Roasters purchases, and more!

Note: Information posted, including suite availability, security deposits, rental rates and incentives are subject to change without notice or may vary by suite type. Current residents can contact the Customer Service Representative to discuss lease renewal options. Suites and floor plans may not be as shown. Some conditions apply. Rental rates listed are net and include current incentives when applicable. Incentives advertised are for new applicants. Internal transfers are subject to conditions found within the Transfer Agreement.",31264,1,1,0,-1,-1,2.0,3.0,21.0,3.0,Apartment,1030,0, 1 ,3 ,1899
49,VARSITY SQUARE APARTMENTS (4515 VARSITY DR. NW),Varsity,"Rent today and save up to 2 months on rent with the most exclusive rates on TELUS Optik TV and High-Speed Internet. Live your life uninterrupted at Varsity Square Apartments where you come first! Students receive a $300 move in bonus!

**located in Varsity, one of Avenue Calgary’s top-rated neighbourhoods in 2020**

Virtual Showings Available!

Location, location, location! Varsity Place Apartments is conveniently located next to Market Mall and the University of Calgary. Super quick and easy access to Crowchild Trail and Shaganappi Trail. With green spaces, parks, and playgrounds, enjoy plenty of outdoor living.

WORRY-FREE LIVING
- 24-hour customer service team
- On-site cleaning staff
- On-site landscaping and snow removal
- On-call emergency maintenance
- On-site security and video surveillance

WHAT SETS US APART
- $399 security deposit
- Community involvement opportunities
- Exclusive discounts with local businesses*
- Free resident events
- Fitness facility
- Swimming pool and sauna
- Community room
- Referral program

LIVE HERE
- Functional 1, 2 and 3 bedroom suites
- Standard and upgraded suites
- 12-month lease terms
- Underground and outdoor parking
- Smart Card System in laundry facilities

Start getting to know the Boardwalk community by following @bwalkcommunity on Facebook and Instagram!

*Save $89.99 on your first 3 HelloFresh orders, 10% off online Rosso Coffee Roasters purchases, and more!

Note: Information posted, including suite availability, security deposits, rental rates and incentives are subject to change without notice or may vary by suite type. Current residents can contact the Customer Service Representative to discuss lease renewal options. Suites and floor plans may not be as shown. Some conditions apply. Rental rates listed are net and include current incentives when applicable. Incentives advertised are for new applicants. Internal transfers are subject to conditions found within the Transfer Agreement.",31264,1,1,0,-1,-1,2.0,3.0,21.0,3.0,Apartment,1030,0, 1.5 ,3 ,1979
50,BEAUTIFUL & WELL KEPT 3 BEDROOMS PANAMOUNT HOME FOR RENT,Panorama Hills,"Happy New Year 2021
Immaculate Former Show Home 3 Bedrooms in Panorama available for rent 1-March.
Only a Short Walk to Schools, Shopping Center, Library, VIVO Recreation Center, Swimming pool. Skating rink, Doctors and Dentists office's, Superstore, Movie theater and Restaurants. Within walking distance to Transit #301 (Downtown) & #8 (University of Calgary). Don't Miss this Incredible Home.
This Move-in Ready 3 Bedroom, 2.5 Baths Family Home features Sunny West Backyard and Attractive Upgrades: NEW Engineered Hardwood Floors on Main and NEW Carpet Upstairs, NEW Stainless Steel Appliances, NEW Interior Paints & NEW Light Fixtures throughout. Bright Living Room with 3-Sided Gas Fireplace, Spacious Kitchen with Eating Bar & Walk-in Pantry, Large Dining Area with Access to NEW Deck, Main Floor Laundry & Half Bathroom. Upstairs offers Large Bonus Room, Master Bedroom with 4 pc En-suite & Walk-in Closet, 2 Good-Sized Bedrooms & Full Bath. Double Attached Garage with Convenient Side Door Entrance, Fully Landscaped & Fenced Backyard. Unfinished basement. Appliances included are Stove, dishwasher, fridge, Washer & dryer.
Looking for professional couple or small family. Must be very clean & responsible, ABSOLUTELY NO PETS, NO SMOKERS. Credit checks of Tenants are required.
Rent $ 1,750 per month.
Utilities are excluded (Tenant pays for all utilities, internet, phone, TV cable etc. and alike).
Security deposit of one month rent is required.

Please call or text (587) 717-4155 for viewing.
Thank you.....",365702,0,0,1,2000,2015,0.0,13.0,22.0,-1.0,House,1552,0, 2.5 ,3 ,1750
51,CALGARY PLACE APARTMENTS,Downtown,"Two Months FREE Rent!
*Plus only a $399 security deposit. 12–13 month lease terms. Terms and conditions apply
 Thank you for your interest in Calgary Place Apartments. Please note at this time the Leasing Team would be happy to tour you via video call on FaceTime or WhatsApp, or you can make an appointment for a self-guided tour.

Move into Calgary Place Apartments in downtown Calgary and get ready to enjoy all the perks. You're conveniently located in the centre of all the exciting action, shopping and entertainment in the city. It's a great place to live!
---

Calgary Place Apartments: 6th Avenue SW and 8th Street SW
 
Our location
This downtown property offers everything you could ask for within walking distance or a short drive away. From Calgary Place Apartments, you can stroll to grocery stores in the area or stop for a coffee at several different coffee shops. When it comes to dining and entertainment, you'll find plenty of great restaurants and bars to choose from. Enjoy the great outdoors with the picturesque Bow River at your doorstep and local green space for a break from the hustle and bustle of the city. The C-Train station is one block away, making getting around easy!
 
Our suites
Choose from spacious one or two-bedroom suites with private balconies in a stunning high-rise building in the heart of downtown Calgary. When you move in, you'll be greeted with a spotless and freshly painted suite.
 
Our perks
This cat-friendly Calgary rental property offers so many perks you'll never want to leave home. Enjoy a large laundry facility, underground parking, games room and a fitness facility. The garden terrace, seasonal outdoor swimming pool and tennis courts are popular gathering places for residents. Regularly scheduled resident events make you feel part of a close-knit community. The 24/7 professional on-site management team in this secure building is always on hand to look after your needs. Heat and water are included.

Visit www.quadrealres.com/calgary-place for more details.

Calgary Place is professionally managed by QuadReal Residential Properties LP.
* Photos are not of exact suite available or indicative of product quality and finishing. All suites are unfurnished. Prices and availability are subject to change. Contact us for complete details regarding our Pet Policy. Please inquire for up-to-the-minute information.
 ",393080,1,0,1,-1,-1,18.0,4.0,18.0,-1.0,Apartment,492,0, 1 ,1 ,900
51,CALGARY PLACE APARTMENTS,Downtown,"Two Months FREE Rent!
*Plus only a $399 security deposit. 12–13 month lease terms. Terms and conditions apply
 Thank you for your interest in Calgary Place Apartments. Please note at this time the Leasing Team would be happy to tour you via video call on FaceTime or WhatsApp, or you can make an appointment for a self-guided tour.

Move into Calgary Place Apartments in downtown Calgary and get ready to enjoy all the perks. You're conveniently located in the centre of all the exciting action, shopping and entertainment in the city. It's a great place to live!
---

Calgary Place Apartments: 6th Avenue SW and 8th Street SW
 
Our location
This downtown property offers everything you could ask for within walking distance or a short drive away. From Calgary Place Apartments, you can stroll to grocery stores in the area or stop for a coffee at several different coffee shops. When it comes to dining and entertainment, you'll find plenty of great restaurants and bars to choose from. Enjoy the great outdoors with the picturesque Bow River at your doorstep and local green space for a break from the hustle and bustle of the city. The C-Train station is one block away, making getting around easy!
 
Our suites
Choose from spacious one or two-bedroom suites with private balconies in a stunning high-rise building in the heart of downtown Calgary. When you move in, you'll be greeted with a spotless and freshly painted suite.
 
Our perks
This cat-friendly Calgary rental property offers so many perks you'll never want to leave home. Enjoy a large laundry facility, underground parking, games room and a fitness facility. The garden terrace, seasonal outdoor swimming pool and tennis courts are popular gathering places for residents. Regularly scheduled resident events make you feel part of a close-knit community. The 24/7 professional on-site management team in this secure building is always on hand to look after your needs. Heat and water are included.

Visit www.quadrealres.com/calgary-place for more details.

Calgary Place is professionally managed by QuadReal Residential Properties LP.
* Photos are not of exact suite available or indicative of product quality and finishing. All suites are unfurnished. Prices and availability are subject to change. Contact us for complete details regarding our Pet Policy. Please inquire for up-to-the-minute information.
 ",393080,1,0,1,-1,-1,18.0,4.0,18.0,-1.0,Apartment,586,0, 1 ,1 ,910
51,CALGARY PLACE APARTMENTS,Downtown,"Two Months FREE Rent!
*Plus only a $399 security deposit. 12–13 month lease terms. Terms and conditions apply
 Thank you for your interest in Calgary Place Apartments. Please note at this time the Leasing Team would be happy to tour you via video call on FaceTime or WhatsApp, or you can make an appointment for a self-guided tour.

Move into Calgary Place Apartments in downtown Calgary and get ready to enjoy all the perks. You're conveniently located in the centre of all the exciting action, shopping and entertainment in the city. It's a great place to live!
---

Calgary Place Apartments: 6th Avenue SW and 8th Street SW
 
Our location
This downtown property offers everything you could ask for within walking distance or a short drive away. From Calgary Place Apartments, you can stroll to grocery stores in the area or stop for a coffee at several different coffee shops. When it comes to dining and entertainment, you'll find plenty of great restaurants and bars to choose from. Enjoy the great outdoors with the picturesque Bow River at your doorstep and local green space for a break from the hustle and bustle of the city. The C-Train station is one block away, making getting around easy!
 
Our suites
Choose from spacious one or two-bedroom suites with private balconies in a stunning high-rise building in the heart of downtown Calgary. When you move in, you'll be greeted with a spotless and freshly painted suite.
 
Our perks
This cat-friendly Calgary rental property offers so many perks you'll never want to leave home. Enjoy a large laundry facility, underground parking, games room and a fitness facility. The garden terrace, seasonal outdoor swimming pool and tennis courts are popular gathering places for residents. Regularly scheduled resident events make you feel part of a close-knit community. The 24/7 professional on-site management team in this secure building is always on hand to look after your needs. Heat and water are included.

Visit www.quadrealres.com/calgary-place for more details.

Calgary Place is professionally managed by QuadReal Residential Properties LP.
* Photos are not of exact suite available or indicative of product quality and finishing. All suites are unfurnished. Prices and availability are subject to change. Contact us for complete details regarding our Pet Policy. Please inquire for up-to-the-minute information.
 ",393080,1,0,1,-1,-1,18.0,4.0,18.0,-1.0,Apartment,586,0, 1 ,1 ,940
51,CALGARY PLACE APARTMENTS,Downtown,"Two Months FREE Rent!
*Plus only a $399 security deposit. 12–13 month lease terms. Terms and conditions apply
 Thank you for your interest in Calgary Place Apartments. Please note at this time the Leasing Team would be happy to tour you via video call on FaceTime or WhatsApp, or you can make an appointment for a self-guided tour.

Move into Calgary Place Apartments in downtown Calgary and get ready to enjoy all the perks. You're conveniently located in the centre of all the exciting action, shopping and entertainment in the city. It's a great place to live!
---

Calgary Place Apartments: 6th Avenue SW and 8th Street SW
 
Our location
This downtown property offers everything you could ask for within walking distance or a short drive away. From Calgary Place Apartments, you can stroll to grocery stores in the area or stop for a coffee at several different coffee shops. When it comes to dining and entertainment, you'll find plenty of great restaurants and bars to choose from. Enjoy the great outdoors with the picturesque Bow River at your doorstep and local green space for a break from the hustle and bustle of the city. The C-Train station is one block away, making getting around easy!
 
Our suites
Choose from spacious one or two-bedroom suites with private balconies in a stunning high-rise building in the heart of downtown Calgary. When you move in, you'll be greeted with a spotless and freshly painted suite.
 
Our perks
This cat-friendly Calgary rental property offers so many perks you'll never want to leave home. Enjoy a large laundry facility, underground parking, games room and a fitness facility. The garden terrace, seasonal outdoor swimming pool and tennis courts are popular gathering places for residents. Regularly scheduled resident events make you feel part of a close-knit community. The 24/7 professional on-site management team in this secure building is always on hand to look after your needs. Heat and water are included.

Visit www.quadrealres.com/calgary-place for more details.

Calgary Place is professionally managed by QuadReal Residential Properties LP.
* Photos are not of exact suite available or indicative of product quality and finishing. All suites are unfurnished. Prices and availability are subject to change. Contact us for complete details regarding our Pet Policy. Please inquire for up-to-the-minute information.
 ",393080,1,0,1,-1,-1,18.0,4.0,18.0,-1.0,Apartment,653,0, 1 ,1 ,940
51,CALGARY PLACE APARTMENTS,Downtown,"Two Months FREE Rent!
*Plus only a $399 security deposit. 12–13 month lease terms. Terms and conditions apply
 Thank you for your interest in Calgary Place Apartments. Please note at this time the Leasing Team would be happy to tour you via video call on FaceTime or WhatsApp, or you can make an appointment for a self-guided tour.

Move into Calgary Place Apartments in downtown Calgary and get ready to enjoy all the perks. You're conveniently located in the centre of all the exciting action, shopping and entertainment in the city. It's a great place to live!
---

Calgary Place Apartments: 6th Avenue SW and 8th Street SW
 
Our location
This downtown property offers everything you could ask for within walking distance or a short drive away. From Calgary Place Apartments, you can stroll to grocery stores in the area or stop for a coffee at several different coffee shops. When it comes to dining and entertainment, you'll find plenty of great restaurants and bars to choose from. Enjoy the great outdoors with the picturesque Bow River at your doorstep and local green space for a break from the hustle and bustle of the city. The C-Train station is one block away, making getting around easy!
 
Our suites
Choose from spacious one or two-bedroom suites with private balconies in a stunning high-rise building in the heart of downtown Calgary. When you move in, you'll be greeted with a spotless and freshly painted suite.
 
Our perks
This cat-friendly Calgary rental property offers so many perks you'll never want to leave home. Enjoy a large laundry facility, underground parking, games room and a fitness facility. The garden terrace, seasonal outdoor swimming pool and tennis courts are popular gathering places for residents. Regularly scheduled resident events make you feel part of a close-knit community. The 24/7 professional on-site management team in this secure building is always on hand to look after your needs. Heat and water are included.

Visit www.quadrealres.com/calgary-place for more details.

Calgary Place is professionally managed by QuadReal Residential Properties LP.
* Photos are not of exact suite available or indicative of product quality and finishing. All suites are unfurnished. Prices and availability are subject to change. Contact us for complete details regarding our Pet Policy. Please inquire for up-to-the-minute information.
 ",393080,1,0,1,-1,-1,18.0,4.0,18.0,-1.0,Apartment,763,0, 1 ,2 ,1195
